id,tipo,en_stock,nombre,url
210136,simple,True,Daler Rowney Pincel Graduate Sintético Flat Wash #1/2,https://www.boykot.cl/tienda/uncategorized/daler-rowney-pincel-graduate-sintetico-flat-wash-1-2/
210130,simple,False,Daler Rowney Pincel Graduate Sintético Angle Shader #1/4,https://www.boykot.cl/tienda/uncategorized/daler-rowney-pincel-graduate-sintetico-angle-shader-1-4/
174029,simple,True,Acuarela Set HWC 12 Tubos 15ml Luminous W894,https://www.boykot.cl/tienda/pintura/holbein/acuarela-holbein/acuarela-set-hwc12-tubos-15ml-luminous-w894/
173018,simple,False,Polera Biometric Weapons Longsleeve Shirt Granite XXL,https://www.boykot.cl/tienda/uncategorized/polera-biometric-weapons-longsleeve-shirt-granite-xxl/
156858,simple,True,IC Screen S-448,https://www.boykot.cl/tienda/uncategorized/ic-screen-s-448/
147029,simple,False,X-press it Mask It Sheets,https://www.boykot.cl/tienda/uncategorized/x-press-itmask-it-sheets/
130355,simple,False,Jockey Most wanted Logodrip,https://www.boykot.cl/tienda/uncategorized/jockey-most-wanted-logodrip/
129245,simple,False,Pincel Princeton Snap! 2 Round Bright 9700R-2,https://www.boykot.cl/tienda/uncategorized/pincel-princeton-snap-2-round-bright-9700r-2-2/
120065,variable,True,Createx UVLS Clear Satin,https://www.boykot.cl/tienda/uncategorized/createx-uvls-clear-satin/
120057,variable,True,Createx UVLS Clear Matte,https://www.boykot.cl/tienda/uncategorized/createx-uvls-clear-matte/
120048,variable,True,Createx UVLS Clear Gloss,https://www.boykot.cl/tienda/uncategorized/uvls-clear-gloss/
120045,simple,True,Createx Retarder,https://www.boykot.cl/tienda/uncategorized/createx-retarder/
120043,simple,True,Createx Restorer,https://www.boykot.cl/tienda/uncategorized/createx-restorer/
120014,variable,True,Createx Reducer,https://www.boykot.cl/tienda/uncategorized/createx-reducer/
119939,variable,True,Createx Illustration Lifeline 240ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-lifeline-240ml/
119902,variable,True,Createx Illustration Bloodline 60ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-bloodline-60ml/
119881,variable,True,Createx Illustration Bloodline 240ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-bloodline-240ml/
119807,variable,True,Createx Illustration Lifeline 30ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-lifeline-30ml/
119774,variable,True,Createx Illustration Bloodline 30ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-bloodline-30ml/
119741,variable,True,Createx Illustration Lifeline 60ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-lifeline-60ml/
119665,variable,True,Createx Illustration 240ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-240ml/
119662,variable,True,Createx Illustration 120ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-120ml/
119581,variable,True,Createx Illustration 60ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-60ml/
119426,variable,True,Createx Illustration 30ml,https://www.boykot.cl/tienda/uncategorized/createx-illustration-30ml/
119417,variable,True,Createx Airbrush Colors 960ml,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-960ml/
119406,variable,True,Createx Airbrush Colors 480ml,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-480ml/
119249,variable,True,Createx Airbrush Colors 240ml,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-240ml/
119007,variable,True,Createx Airbrush Colors 120ml unidad,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-120ml-unidad/
118831,variable,True,Createx Airbrush Colors 60ml unidad,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-unidad/
118807,simple,True,Createx Airbrush Colors 60ml 5815-00 Mix Kent Lind Cool Set 8,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5815-00-mix-kent-lind-cool-set-8/
118804,simple,True,Createx Airbrush Colors 60ml 5816-00 Mix Kent Lind Warm Set 8,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5816-00-mix-kent-lind-warm-set-8/
118801,simple,True,Createx Airbrush Colors 60ml 5802-00 Fluorescent Set 6,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5802-00-fluorescent-set-6/
118798,simple,True,Createx Airbrush Colors 60ml 5811-00 Pearlized Sample Set 6,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5811-00-pearlized-sample-set-6/
118795,simple,True,Createx Airbrush Colors 60ml 5801-00 Mix Primary Set 6,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5801-00-mix-primary-set-6/
118792,simple,True,Createx Airbrush Colors 60ml 5803-00 Set 6,https://www.boykot.cl/tienda/uncategorized/createx-airbrush-colors-60ml-5803-00-set-6/
