id,tipo,en_stock,categorias,nombre,url
110728,simple,False,Estuche,Estuche enrollable Cuero vacío 180010,https://www.boykot.cl/tienda/materiales/estuche/estuche-enrollable-cuero-vacio-180010/
109149,simple,False,Accesorios,Goma para gamuza,https://www.boykot.cl/tienda/materiales/accesorios-materiales/goma-para-gamuza/
109146,simple,False,Accesorios,Kit de Limpieza para Gorros Capas y cuidados,https://www.boykot.cl/tienda/materiales/accesorios-materiales/kit-de-limpieza/
108954,simple,False,NINGUNA,Washi tape IC [Edición Limitada] &#8211; Girl´s comics,https://www.boykot.cl/tienda/uncategorized/washi-tape-ic-edicion-limitada-girls-comics/
108104,simple,False,Copic Shikishi|Croqueras,Autograph board (Shikishi),https://www.boykot.cl/tienda/copic/copic-shikishi/autograph-board-shikishi/
107290,simple,False,Pinceles,Pincel Princeton Snap! 4 Filbert 9650FB-4,https://www.boykot.cl/tienda/materiales/pinceles/pincel-princeton-snap-4-filbert-9650fb-4/
107282,simple,False,Accesorios|Accesorios|Materiales,Cinta masking Bailida azul,https://www.boykot.cl/tienda/materiales/accesorios-materiales/cinta-masking-bailida-azul/
107278,simple,False,Accesorios|Accesorios,Cepillo de bronce para Gamuza,https://www.boykot.cl/tienda/materiales/accesorios-materiales/cepillo-de-bronce-para-gamuza/
107275,simple,False,Accesorios,Activador de color Gamuza Capas y Cuidados 120 ml,https://www.boykot.cl/tienda/materiales/accesorios-materiales/activador-de-color-gamuza-capas-y-cuidados-120-ml/
107257,simple,False,Acuarela|Ecoline,Set Ecoline-5 Colores Beige Pink,https://www.boykot.cl/tienda/marcadores/ecoline/set-ecoline-5-colores-beige-pink/
107255,simple,False,Brushpen|Marcadores,Set Ecoline-5 colores,https://www.boykot.cl/tienda/marcadores/brushpen/set-ecoline-5-colores/
107249,simple,False,Ecoline,Set Ecoline-5 colores Red,https://www.boykot.cl/tienda/marcadores/ecoline/set-ecoline-5-colores-red/
107246,simple,False,Acuarela|Ecoline,Set Ecoline-5 colores Violet,https://www.boykot.cl/tienda/marcadores/ecoline/set-ecoline-5-colores-violet/
106910,simple,False,ICscreen|Materiales|Tramas,IC Manga Studio Pro,https://www.boykot.cl/tienda/materiales/tramas/ic-manga-studio-pro/
106604,simple,False,Acuarela|Acuarela,Acuarela pastilla-Van Gogh Pocket Box 12,https://www.boykot.cl/tienda/materiales/acuarela-materiales/acuarela-pastilla-van-gogh-pocket-box-12/
